id,username,experience,approach,holding_period,assets_traded
1004,needyRuffs4,Novice,Global Macro,Day Trader,Private Companies
1005,emptyTortoise9,Intermediate,Global Macro,Long Term Investor,"Forex,Equities"
1006,wrathfulLion6,Experienced,Fundamental,Swing Trader,"Futures,Bonds"
1007,debonairCur7,Novice,Global Macro,Swing Trader,Futures
1008,worriedPorpoise9,Intermediate,Momentum,Long Term Investor,"Futures,Options,Equities"
1009,worriedChough4,Novice,Growth,Long Term Investor,"Equities,Options,Futures"
1010,solidPolenta7,Experienced,Momentum,Position Trader,"Futures,Bonds,Equities"
1011,needfulSausage4,Intermediate,Global Macro,Long Term Investor,Equities
1012,shamefulMacaw4,Experienced,Value,Swing Trader,Futures
1013,truthfulCurlew8,Novice,Fundamental,Swing Trader,Private Companies
1014,troubledAntelope3,Experienced,Technical,Position Trader,"Forex,Equities"
1015,troubledOtter0,Intermediate,Global Macro,Long Term Investor,"Forex,Equities,Futures"
1016,mildStork6,Intermediate,Value,Day Trader,Options
1017,resolvedRaisins0,Intermediate,Technical,Swing Trader,Options
1018,cockyDunbird6,Experienced,Growth,Position Trader,"Futures,Forex"
1019,mercifulLizard3,Novice,Growth,Day Trader,"Private Companies,Futures"
1020,lovesickSnail1,Novice,Momentum,Swing Trader,Equities
1021,puzzledBuzzard7,Intermediate,Momentum,Long Term Investor,"Futures,Forex,Private Companies"
1022,fondBass3,Novice,Growth,Day Trader,Forex
1023,thrilledJaguar8,Intermediate,Fundamental,Day Trader,"Futures,Forex"
1024,cautiousVenison9,Novice,Fundamental,Long Term Investor,"Futures,Options"
1025,blissfulDinosaur7,Intermediate,Momentum,Position Trader,"Futures,Forex,Options"
1026,soreCaviar3,Experienced,Momentum,Swing Trader,Forex
1027,wrathfulSardines3,Intermediate,Momentum,Long Term Investor,"Options,Bonds,Futures"
1028,goofyEagle6,Novice,Value,Long Term Investor,Equities
1029,decimalCamel6,Experienced,Global Macro,Swing Trader,"Bonds,Futures,Options"
1030,worriedShads3,Experienced,Momentum,Swing Trader,"Private Companies,Options,Forex"
1031,goofyIcecream5,Intermediate,Growth,Long Term Investor,"Private Companies,Equities,Options"
1032,pleasedCur7,Experienced,Technical,Day Trader,"Futures,Options,Equities"
1033,blissfulGatorade3,Novice,Momentum,Swing Trader,"Options,Bonds,Equities"
1034,wakefulEggs9,Intermediate,Value,Day Trader,Futures
1035,somberFish9,Experienced,Momentum,Position Trader,Options
1036,wakefulPonie8,Experienced,Momentum,Swing Trader,"Futures,Equities,Bonds"
1037,murkyClam1,Intermediate,Fundamental,Long Term Investor,"Forex,Bonds"
1038,worriedPepper7,Intermediate,Growth,Swing Trader,"Equities,Bonds"
1039,decimalApricots9,Experienced,Value,Long Term Investor,Private Companies
1040,truthfulPorpoise4,Intermediate,Global Macro,Position Trader,"Futures,Options"
1041,affectedGelding7,Experienced,Global Macro,Long Term Investor,"Forex,Options"
1042,excitedLocust9,Novice,Technical,Long Term Investor,"Options,Equities,Bonds"
1043,euphoricBaboon7,Experienced,Growth,Position Trader,"Options,Forex,Private Companies"
1044,yearningWeaver1,Experienced,Growth,Position Trader,"Private Companies,Options"
1045,worriedDingo1,Intermediate,Growth,Swing Trader,"Equities,Futures"
1046,scornfulJerky7,Novice,Fundamental,Day Trader,"Forex,Equities"
1047,solemnBustard8,Intermediate,Technical,Day Trader,Options
1048,boredZebra0,Intermediate,Value,Long Term Investor,"Private Companies,Bonds"
1049,culturedMallard3,Novice,Value,Swing Trader,"Equities,Forex,Bonds"
1050,wornoutRuffs7,Intermediate,Fundamental,Position Trader,Bonds
1051,cynicalMacaw7,Novice,Momentum,Long Term Investor,"Forex,Futures"
1052,superiorGranola2,Novice,Growth,Day Trader,"Forex,Bonds,Equities"
1053,pitifulOryx7,Novice,Growth,Day Trader,"Bonds,Equities,Forex"
1054,decimalDoves4,Novice,Fundamental,Swing Trader,Futures
1055,crushedKitten7,Novice,Global Macro,Day Trader,"Options,Equities,Private Companies"
1056,dejectedMussel7,Novice,Momentum,Day Trader,Options
1057,dreadfulDotterel1,Novice,Fundamental,Day Trader,"Futures,Options"
1058,chicIcecream4,Novice,Value,Day Trader,"Private Companies,Equities,Futures"
1059,hushedPolenta6,Experienced,Technical,Day Trader,Equities
1060,shamefulDove5,Experienced,Global Macro,Day Trader,"Private Companies,Futures"
1061,morbidChough8,Experienced,Value,Day Trader,"Forex,Options"
1062,mellowGnu9,Novice,Fundamental,Swing Trader,"Equities,Futures"
1063,shamefulKitten9,Intermediate,Technical,Long Term Investor,Private Companies
1064,enviousLocust3,Intermediate,Momentum,Swing Trader,Bonds
1065,solemnMare4,Intermediate,Global Macro,Swing Trader,Bonds
1066,mereOrange6,Novice,Global Macro,Day Trader,"Forex,Equities,Futures"
1067,truthfulFalcon4,Novice,Technical,Long Term Investor,"Options,Futures,Bonds"
1068,excitedPear6,Novice,Value,Long Term Investor,Bonds
1069,shyCod0,Experienced,Technical,Day Trader,"Futures,Bonds,Equities"
1070,awedDove8,Intermediate,Value,Position Trader,"Forex,Private Companies"
1071,amusedEland8,Experienced,Value,Day Trader,"Private Companies,Forex"
1072,resolvedIcecream2,Novice,Technical,Swing Trader,"Options,Private Companies,Forex"
1073,relievedCrackers3,Experienced,Growth,Swing Trader,Futures
1074,sadPolenta4,Experienced,Momentum,Swing Trader,"Options,Futures"
1075,forsakenMallard4,Intermediate,Momentum,Day Trader,"Bonds,Forex,Private Companies"
1076,hushedIguana1,Experienced,Growth,Position Trader,"Private Companies,Futures"
1077,thriftyPretzels9,Novice,Growth,Long Term Investor,Options
1078,zestyGranola3,Intermediate,Momentum,Long Term Investor,"Futures,Options,Forex"
1079,shyPoultry4,Experienced,Global Macro,Day Trader,"Bonds,Private Companies"
1080,wrathfulTortoise6,Novice,Global Macro,Swing Trader,"Forex,Equities,Private Companies"
1081,importedLapwing2,Experienced,Fundamental,Swing Trader,"Forex,Futures,Equities"
1082,jubilantPie3,Novice,Value,Position Trader,"Equities,Bonds,Options"
1083,joyfulSnail3,Experienced,Value,Long Term Investor,"Equities,Forex,Bonds"
1084,ecstaticEggs8,Novice,Global Macro,Swing Trader,"Forex,Private Companies,Bonds"
1085,bubblyRaisins9,Novice,Fundamental,Day Trader,"Bonds,Options,Equities"
1086,trustingPup9,Novice,Fundamental,Swing Trader,"Options,Bonds,Futures"
1087,cruelHeron9,Intermediate,Growth,Day Trader,Equities
1088,lovesickWidgeon8,Novice,Momentum,Long Term Investor,"Private Companies,Futures"
1089,pitifulLeopard1,Intermediate,Technical,Swing Trader,"Options,Private Companies"
1090,cautiousQuiche3,Novice,Technical,Position Trader,Futures
1091,emptyUnicorn2,Novice,Momentum,Long Term Investor,Private Companies
1092,awedThrush6,Intermediate,Fundamental,Long Term Investor,"Equities,Private Companies,Options"
1093,sheepishChough9,Experienced,Momentum,Position Trader,"Equities,Bonds"
1094,wearyBuzzard1,Experienced,Momentum,Long Term Investor,"Forex,Options"
1095,boredKitten8,Intermediate,Growth,Swing Trader,Private Companies
1096,aboardMallard6,Experienced,Technical,Position Trader,"Options,Private Companies,Bonds"
1097,selfishPonie2,Novice,Fundamental,Position Trader,"Equities,Options,Private Companies"
1098,peacefulTortoise3,Novice,Global Macro,Position Trader,"Private Companies,Forex"
1099,enviousBuzzard1,Experienced,Momentum,Day Trader,"Forex,Futures,Options"
1100,thrilledOwl0,Intermediate,Fundamental,Swing Trader,"Bonds,Private Companies"
1101,grudgingTermite2,Experienced,Growth,Long Term Investor,"Futures,Bonds"
1102,grudgingCheetah6,Intermediate,Value,Position Trader,"Futures,Equities,Options"
1103,outlyingBustard1,Intermediate,Technical,Position Trader,Bonds
1104,culturedFlamingo0,Experienced,Technical,Swing Trader,Forex
1105,dopeyBuck0,Novice,Value,Position Trader,"Options,Equities"
1106,madBittern4,Experienced,Momentum,Day Trader,"Options,Equities"
1107,euphoricSalami6,Novice,Momentum,Swing Trader,"Forex,Options,Equities"
1108,boredMeerkat9,Novice,Value,Long Term Investor,"Forex,Bonds"
1109,murkyCur3,Experienced,Fundamental,Long Term Investor,Private Companies
1110,selfishShads5,Novice,Growth,Position Trader,"Private Companies,Bonds"
1111,decimalCheese0,Novice,Momentum,Long Term Investor,Forex
1112,cheerfulQuiche2,Experienced,Momentum,Position Trader,"Futures,Options,Equities"
1113,forsakenChile6,Intermediate,Value,Swing Trader,"Equities,Forex"
1114,drearyDingo1,Experienced,Global Macro,Day Trader,"Private Companies,Equities,Options"
1115,amazedBittern9,Experienced,Momentum,Swing Trader,Options
1116,sincereEggs6,Intermediate,Technical,Long Term Investor,Bonds
1117,pitifulCur4,Novice,Value,Position Trader,"Equities,Bonds"
1118,needyCrackers8,Novice,Fundamental,Swing Trader,Equities
1119,ecstaticWeaver7,Intermediate,Value,Long Term Investor,"Bonds,Forex"
1120,aboardChowder5,Novice,Momentum,Swing Trader,"Options,Bonds"
1121,similarBuck6,Experienced,Momentum,Day Trader,"Equities,Private Companies,Options"
1122,gloomyFerret4,Experienced,Fundamental,Long Term Investor,"Bonds,Equities,Private Companies"
1123,ashamedBurritos8,Intermediate,Fundamental,Long Term Investor,"Futures,Bonds,Equities"
1124,affectedRaisins3,Intermediate,Global Macro,Swing Trader,"Private Companies,Equities"
1125,wingedLeopard4,Intermediate,Growth,Long Term Investor,"Bonds,Private Companies,Equities"
1126,annoyedTomatoe6,Experienced,Technical,Position Trader,"Private Companies,Forex"
1127,wornoutCake6,Intermediate,Fundamental,Day Trader,"Bonds,Equities"
1128,emptyThrushe9,Experienced,Global Macro,Swing Trader,Futures
1129,ecstaticCaviar1,Novice,Momentum,Day Trader,"Forex,Bonds,Equities"
1130,giddyViper8,Novice,Technical,Swing Trader,Forex
1131,tautWidgeon6,Experienced,Technical,Position Trader,"Bonds,Equities,Forex"
1132,pleasedDingo8,Intermediate,Fundamental,Swing Trader,Private Companies
1133,ardentBustard4,Intermediate,Technical,Swing Trader,"Private Companies,Equities"
1134,lyingRice0,Novice,Technical,Long Term Investor,"Futures,Bonds"
1135,wornoutPiglet1,Intermediate,Technical,Swing Trader,Equities
1136,sadOtter6,Intermediate,Value,Day Trader,Options
1137,outlyingOryx2,Intermediate,Growth,Swing Trader,"Futures,Options,Private Companies"
1138,gleefulShads9,Intermediate,Global Macro,Day Trader,"Equities,Forex,Options"
1139,lazyLlama8,Experienced,Value,Swing Trader,"Forex,Private Companies,Options"
1140,grumpyTacos9,Intermediate,Value,Swing Trader,"Futures,Bonds"
1141,troubledSausage9,Experienced,Global Macro,Day Trader,Equities
1142,mellowPiglet4,Intermediate,Global Macro,Position Trader,"Options,Futures"
1143,betrayedGatorade6,Novice,Value,Long Term Investor,Bonds
1144,stressedSnail6,Novice,Fundamental,Swing Trader,"Futures,Equities"
1145,dearBurritos9,Novice,Value,Long Term Investor,Options
1146,troubledBasmati5,Intermediate,Value,Long Term Investor,Futures
1147,cautiousIcecream1,Intermediate,Fundamental,Day Trader,"Futures,Equities"
1148,selfishWasp4,Intermediate,Value,Day Trader,"Options,Equities"
1149,contentBurritos5,Intermediate,Value,Long Term Investor,"Options,Forex"
1150,eagerTortoise9,Novice,Global Macro,Position Trader,Forex
1151,blissfulMuesli4,Experienced,Growth,Swing Trader,"Futures,Options"
1152,boastfulOrange8,Novice,Global Macro,Swing Trader,Equities
1153,relievedOtter7,Novice,Global Macro,Day Trader,"Private Companies,Forex,Bonds"
1154,dreadfulSardines8,Experienced,Growth,Swing Trader,Equities
1155,decimalCrackers2,Novice,Momentum,Swing Trader,"Private Companies,Equities,Forex"
1156,ecstaticJerky9,Novice,Fundamental,Position Trader,"Private Companies,Equities,Bonds"
1157,unhappyPie0,Experienced,Value,Day Trader,"Options,Equities"
1158,cynicalLlama4,Novice,Momentum,Day Trader,"Futures,Bonds"
1159,amazedBobolink2,Novice,Global Macro,Day Trader,"Equities,Forex,Bonds"
1160,affectedDotterel5,Intermediate,Technical,Long Term Investor,"Equities,Futures"
1161,adoringFerret6,Experienced,Value,Swing Trader,"Equities,Futures"
1162,wakefulCoati7,Novice,Momentum,Day Trader,"Bonds,Equities"
1163,kindCoconut5,Intermediate,Growth,Position Trader,"Futures,Equities"
1164,sugaryClam7,Novice,Global Macro,Swing Trader,"Forex,Equities"
1165,pitifulTortoise0,Experienced,Momentum,Long Term Investor,Options
1166,forsakenGatorade5,Novice,Fundamental,Swing Trader,"Equities,Options,Forex"
1167,exactingCrackers0,Novice,Value,Long Term Investor,"Options,Forex"
1168,ashamedAntelope6,Intermediate,Fundamental,Swing Trader,"Futures,Equities,Private Companies"
1169,contentBasmati5,Experienced,Global Macro,Day Trader,Options
1170,cynicalOcelot2,Intermediate,Value,Position Trader,"Private Companies,Bonds,Futures"
1171,gloomyEagle1,Intermediate,Fundamental,Position Trader,Equities
1172,ferventLapwing7,Intermediate,Global Macro,Long Term Investor,Bonds
1173,ecstaticMuesli2,Novice,Fundamental,Day Trader,Forex
1174,grudgingRat7,Intermediate,Momentum,Day Trader,"Futures,Private Companies,Equities"
1175,panickyDoughnut1,Experienced,Value,Swing Trader,"Private Companies,Futures,Forex"
1176,wrathfulSyrup3,Intermediate,Growth,Position Trader,"Futures,Private Companies"
1177,resolvedCow7,Intermediate,Fundamental,Position Trader,"Futures,Forex,Private Companies"
1178,resolvedDoughnut1,Intermediate,Fundamental,Long Term Investor,"Futures,Forex"
1179,unhappyPolenta5,Intermediate,Growth,Position Trader,"Private Companies,Options,Forex"
1180,offendedTermite2,Experienced,Fundamental,Long Term Investor,"Bonds,Forex"
1181,eagerJaguar8,Novice,Value,Swing Trader,Equities
1182,troubledDoves3,Novice,Value,Swing Trader,Futures
1183,relievedDoughnut8,Novice,Global Macro,Day Trader,Equities
1184,crummyOtter9,Novice,Global Macro,Day Trader,Private Companies
1185,gutturalHeron9,Experienced,Momentum,Swing Trader,"Equities,Private Companies,Forex"
1186,grudgingRhino3,Intermediate,Fundamental,Position Trader,"Equities,Options,Forex"
1187,murkyHyena9,Intermediate,Global Macro,Position Trader,"Futures,Options"
1188,affectedPaella6,Experienced,Technical,Long Term Investor,"Private Companies,Options,Equities"
1189,innocentCoati0,Intermediate,Growth,Day Trader,"Forex,Equities,Private Companies"
1190,cruelGarlic6,Novice,Growth,Day Trader,"Futures,Forex,Equities"
1191,worldlyMoth4,Novice,Momentum,Swing Trader,Forex
1192,anxiousBittern1,Intermediate,Technical,Long Term Investor,Forex
1193,dearMagpie2,Experienced,Value,Position Trader,"Bonds,Futures,Options"
1194,empathicPup8,Intermediate,Fundamental,Long Term Investor,"Futures,Equities,Bonds"
1195,insecureRice3,Experienced,Fundamental,Position Trader,"Private Companies,Options"
1196,somberFlamingo0,Intermediate,Global Macro,Position Trader,"Equities,Private Companies"
1197,stressedHeron1,Novice,Fundamental,Day Trader,"Bonds,Options"
1198,betrayedEagle4,Intermediate,Global Macro,Swing Trader,"Options,Equities,Private Companies"
1199,murkyBuck0,Novice,Global Macro,Long Term Investor,"Futures,Equities"
1200,enviousSwift0,Intermediate,Global Macro,Swing Trader,"Forex,Private Companies"
1201,truthfulSwift1,Intermediate,Growth,Position Trader,"Private Companies,Forex,Futures"
1202,worldlyToucan8,Intermediate,Technical,Long Term Investor,"Bonds,Equities"
1203,amazedZebra0,Novice,Growth,Day Trader,"Private Companies,Futures"
1204,troubledPaella8,Intermediate,Momentum,Position Trader,Futures
1205,aloofHyena6,Experienced,Global Macro,Swing Trader,Equities
1206,gleefulBagels7,Intermediate,Momentum,Swing Trader,"Futures,Forex,Equities"
1207,cynicalMare8,Intermediate,Growth,Swing Trader,"Private Companies,Forex"
1208,abjectRelish6,Novice,Value,Day Trader,Futures
1209,sadPepper9,Intermediate,Global Macro,Long Term Investor,"Futures,Options,Forex"
1210,vengefulBasmati3,Experienced,Growth,Position Trader,Futures
1211,blissfulPoultry1,Novice,Fundamental,Long Term Investor,"Bonds,Forex"
1212,forsakenPorpoise8,Experienced,Momentum,Long Term Investor,"Forex,Bonds,Equities"
1213,shyBass5,Novice,Value,Day Trader,"Private Companies,Equities,Options"
1214,similarThrushe7,Experienced,Global Macro,Long Term Investor,"Forex,Bonds"
1215,brainyCod9,Experienced,Momentum,Day Trader,"Bonds,Forex"
1216,curiousRice3,Intermediate,Growth,Long Term Investor,"Equities,Forex,Options"
1217,goofyBustard6,Novice,Global Macro,Day Trader,"Equities,Bonds,Forex"
1218,lazyHeron8,Experienced,Fundamental,Position Trader,"Bonds,Equities,Forex"
1219,somberChamois4,Intermediate,Technical,Swing Trader,"Private Companies,Options"
1220,worriedStork2,Intermediate,Value,Long Term Investor,"Options,Equities,Forex"
1221,vengefulViper0,Novice,Value,Position Trader,"Equities,Forex,Bonds"
1222,cynicalToucan1,Experienced,Value,Day Trader,"Bonds,Private Companies,Equities"
1223,cynicalBobolink6,Intermediate,Fundamental,Swing Trader,Equities
1224,sugaryChowder5,Novice,Global Macro,Day Trader,"Options,Equities"
1225,chicPlover8,Experienced,Fundamental,Day Trader,"Private Companies,Forex,Futures"
1226,guiltyBagels2,Experienced,Fundamental,Position Trader,"Futures,Equities,Forex"
1227,exactingChowder0,Novice,Fundamental,Swing Trader,"Forex,Equities"
1228,aboardLion2,Novice,Momentum,Swing Trader,Options
1229,wornoutFerret4,Intermediate,Technical,Swing Trader,Bonds
1230,finickyHoopoe3,Experienced,Growth,Position Trader,"Private Companies,Options,Bonds"
1231,euphoricOil2,Intermediate,Technical,Day Trader,"Bonds,Futures,Options"
1232,trustingBuzzard7,Novice,Fundamental,Day Trader,Options
1233,murkyBuck3,Experienced,Global Macro,Swing Trader,Equities
1234,drearyWildfowl4,Experienced,Growth,Swing Trader,"Forex,Options"
1235,abjectShads7,Novice,Fundamental,Position Trader,"Equities,Bonds"
1236,ecstaticThrush6,Novice,Technical,Day Trader,"Bonds,Forex,Options"
1237,wornoutSeahorse1,Intermediate,Value,Long Term Investor,"Equities,Forex"
1238,sincereBass9,Experienced,Value,Position Trader,"Forex,Equities"
1239,wrathfulCake5,Intermediate,Technical,Swing Trader,Forex
1240,wearyRuffs3,Novice,Momentum,Swing Trader,Bonds
1241,unhappyOwl3,Novice,Global Macro,Swing Trader,Private Companies
1242,amusedLard1,Intermediate,Fundamental,Position Trader,"Private Companies,Options,Bonds"
1243,aloofCordial5,Novice,Fundamental,Long Term Investor,"Equities,Forex"
1244,jumpySeahorse2,Experienced,Fundamental,Position Trader,"Equities,Bonds,Options"
1245,truthfulRuffs2,Intermediate,Technical,Swing Trader,Private Companies
1246,boredFlamingo9,Intermediate,Fundamental,Position Trader,"Private Companies,Bonds,Equities"
1247,annoyedBasmati2,Intermediate,Momentum,Long Term Investor,"Bonds,Options"
1248,dopeyHoopoe1,Novice,Fundamental,Position Trader,Bonds
1249,betrayedDingo2,Intermediate,Momentum,Position Trader,"Options,Forex,Futures"
1250,eagerBoa3,Experienced,Momentum,Swing Trader,"Futures,Bonds"
1251,mellowOrange7,Experienced,Growth,Position Trader,Options
1252,insecureSalami0,Novice,Growth,Swing Trader,Private Companies
1253,finickyGarlic6,Intermediate,Technical,Long Term Investor,"Options,Private Companies"
1254,dearPaella8,Experienced,Fundamental,Day Trader,"Options,Bonds,Equities"
1255,dearApricots0,Novice,Global Macro,Position Trader,"Options,Futures,Bonds"
1256,mellowVenison8,Experienced,Technical,Position Trader,Private Companies
1257,cheerfulRat3,Intermediate,Momentum,Swing Trader,"Equities,Private Companies"
1258,mildMagpie6,Novice,Growth,Position Trader,Futures
1259,culturedOil1,Intermediate,Technical,Swing Trader,"Equities,Private Companies,Forex"
1260,wingedPup3,Intermediate,Momentum,Swing Trader,"Private Companies,Forex"
1261,boredWidgeon0,Experienced,Technical,Long Term Investor,Options
1262,boredOrange7,Novice,Value,Day Trader,Futures
1263,wearyUnicorn2,Experienced,Technical,Swing Trader,"Bonds,Private Companies,Equities"
1264,cruelBaboon0,Experienced,Technical,Day Trader,Private Companies
1265,resolvedHyena0,Novice,Global Macro,Long Term Investor,Options
1266,enragedMoth4,Experienced,Technical,Day Trader,Private Companies
1267,merePup1,Intermediate,Global Macro,Long Term Investor,"Forex,Options,Private Companies"
1268,enragedBustard0,Novice,Growth,Long Term Investor,Forex
1269,boredSwift0,Novice,Global Macro,Long Term Investor,"Options,Forex"
1270,offendedChile8,Novice,Momentum,Swing Trader,"Private Companies,Futures,Forex"
1271,wakefulOrange3,Intermediate,Growth,Long Term Investor,"Futures,Options"
1272,gloomyPlover8,Intermediate,Value,Day Trader,"Equities,Options,Futures"
1273,zestyDingo9,Intermediate,Fundamental,Position Trader,"Bonds,Forex"
1274,murkyDove1,Novice,Momentum,Swing Trader,"Forex,Bonds"
1275,ferventWasp2,Experienced,Technical,Day Trader,Equities
1276,cautiousTermite3,Experienced,Value,Day Trader,Bonds
1277,artisticWhiting8,Intermediate,Momentum,Day Trader,"Options,Forex"
1278,brainySwift6,Experienced,Global Macro,Position Trader,"Bonds,Private Companies,Equities"
1279,grumpyDoves7,Intermediate,Fundamental,Swing Trader,Futures
1280,finickyOil6,Experienced,Fundamental,Day Trader,"Bonds,Equities"
1281,aloofCamel6,Novice,Fundamental,Swing Trader,"Bonds,Futures,Options"
1282,innocentCordial8,Experienced,Momentum,Position Trader,Bonds
1283,excitedStork6,Novice,Global Macro,Position Trader,"Forex,Futures,Options"
1284,boastfulFlamingo5,Intermediate,Technical,Position Trader,Private Companies
1285,yearningRat4,Novice,Growth,Position Trader,"Equities,Private Companies,Options"
1286,peacefulCardinal7,Intermediate,Value,Day Trader,"Equities,Futures"
1287,contentCake8,Experienced,Global Macro,Position Trader,"Forex,Futures"
1288,trustingZebra2,Experienced,Momentum,Day Trader,"Equities,Forex"
1289,cockyCow1,Experienced,Value,Day Trader,"Futures,Options,Forex"
1290,vengefulOryx3,Experienced,Growth,Swing Trader,"Futures,Private Companies,Bonds"
1291,dopeySeafowl7,Intermediate,Global Macro,Long Term Investor,"Equities,Bonds"
1292,relievedCardinal2,Experienced,Growth,Day Trader,Equities
1293,somberLocust1,Experienced,Global Macro,Long Term Investor,"Equities,Futures,Forex"
1294,yearningEland0,Experienced,Technical,Swing Trader,"Bonds,Private Companies,Equities"
1295,grudgingHawk9,Intermediate,Technical,Swing Trader,Equities
1296,yearningRelish5,Novice,Technical,Position Trader,"Futures,Options,Equities"
1297,wearyPepper9,Experienced,Technical,Position Trader,"Forex,Options"
1298,affectedOatmeal3,Experienced,Global Macro,Position Trader,"Futures,Equities,Bonds"
1299,hushedThrushe2,Novice,Value,Long Term Investor,"Futures,Equities,Options"
1300,pleasedCordial2,Experienced,Technical,Position Trader,Forex
1301,vengefulHare8,Novice,Fundamental,Position Trader,"Equities,Options"
1302,wrathfulEggs4,Experienced,Technical,Position Trader,Futures
1303,wingedCur1,Experienced,Momentum,Day Trader,"Forex,Equities"
1304,guiltyRice6,Experienced,Momentum,Day Trader,Futures
1305,sheepishChile0,Intermediate,Global Macro,Position Trader,"Options,Private Companies,Futures"
1306,wearyIcecream3,Intermediate,Value,Position Trader,"Private Companies,Bonds"
1307,amazedCod3,Intermediate,Fundamental,Long Term Investor,"Options,Futures,Private Companies"
1308,outlyingSardines6,Novice,Technical,Position Trader,"Futures,Forex"
1309,wakefulOatmeal2,Experienced,Global Macro,Long Term Investor,"Equities,Forex,Bonds"
1310,goofyTruffle7,Intermediate,Momentum,Day Trader,"Private Companies,Futures"
1311,panickyGnu5,Experienced,Fundamental,Swing Trader,"Private Companies,Bonds"
1312,artisticDunbird7,Intermediate,Technical,Long Term Investor,"Bonds,Private Companies,Options"
1313,scornfulGatorade6,Experienced,Growth,Long Term Investor,Equities
1314,blissfulVenison5,Intermediate,Growth,Swing Trader,"Bonds,Forex,Futures"
1315,awedLapwing2,Novice,Value,Day Trader,"Private Companies,Futures"
1316,holisticOryx7,Novice,Fundamental,Swing Trader,"Equities,Bonds"
1317,soreMeerkat4,Novice,Growth,Long Term Investor,Forex
1318,hushedThrush2,Experienced,Global Macro,Swing Trader,"Private Companies,Forex"
1319,empathicMagpie2,Experienced,Fundamental,Day Trader,"Futures,Equities,Private Companies"
1320,pacifiedPaella7,Novice,Global Macro,Position Trader,"Futures,Bonds"
1321,bubblySalami2,Intermediate,Global Macro,Long Term Investor,"Options,Private Companies,Bonds"
1322,sadPup5,Intermediate,Value,Long Term Investor,"Futures,Private Companies,Equities"
1323,offendedVenison2,Intermediate,Global Macro,Day Trader,"Private Companies,Options"
1324,exactingRelish9,Intermediate,Value,Long Term Investor,Private Companies
1325,ferventLemur1,Experienced,Growth,Swing Trader,"Private Companies,Forex"
1326,decimalKitten2,Novice,Growth,Swing Trader,"Forex,Bonds,Options"
1327,drearyBaboon0,Intermediate,Value,Day Trader,"Options,Forex,Bonds"
1328,empathicHawk6,Experienced,Global Macro,Long Term Investor,"Equities,Futures,Bonds"
1329,enragedLard8,Experienced,Global Macro,Position Trader,"Options,Equities,Private Companies"
1330,relievedBoars2,Novice,Global Macro,Swing Trader,"Futures,Options"
1331,murkyLlama6,Novice,Momentum,Swing Trader,"Private Companies,Bonds,Options"
1332,finickyDoughnut7,Experienced,Momentum,Position Trader,Equities
1333,bubblyMallard6,Novice,Fundamental,Long Term Investor,"Equities,Forex"
1334,bubblyOatmeal9,Experienced,Global Macro,Long Term Investor,Forex
1335,insecureBass6,Novice,Growth,Day Trader,"Options,Private Companies,Forex"
1336,culturedPonie2,Novice,Growth,Swing Trader,Private Companies
1337,thriftyUnicorn8,Experienced,Growth,Day Trader,"Forex,Futures"
1338,peskyMandrill3,Intermediate,Technical,Swing Trader,"Options,Forex,Futures"
1339,goofyUnicorn1,Novice,Technical,Day Trader,Equities
1340,emptyLard1,Intermediate,Fundamental,Swing Trader,"Futures,Options"
1341,outlyingOwl1,Novice,Growth,Long Term Investor,"Forex,Futures,Equities"
1342,dejectedLard7,Novice,Momentum,Swing Trader,"Bonds,Forex,Private Companies"
1343,peacefulSeafowl3,Novice,Fundamental,Day Trader,Forex
1344,alertCrane6,Novice,Global Macro,Position Trader,"Forex,Private Companies"
1345,insecureWidgeon0,Experienced,Global Macro,Swing Trader,"Bonds,Equities"
1346,lyingThrushe9,Intermediate,Global Macro,Long Term Investor,"Forex,Private Companies"
1347,pluckySheep1,Novice,Global Macro,Position Trader,Forex
1348,excitedDingo8,Novice,Value,Day Trader,Bonds
1349,boredZebra5,Experienced,Technical,Swing Trader,"Private Companies,Futures,Forex"
1350,solemnCurlew0,Intermediate,Value,Position Trader,Futures
1351,brainyChile8,Novice,Fundamental,Long Term Investor,"Forex,Futures,Bonds"
1352,enragedRhino3,Intermediate,Value,Long Term Investor,"Equities,Futures"
1353,worriedLizard3,Experienced,Growth,Long Term Investor,"Equities,Futures,Options"
1354,euphoricThrush7,Intermediate,Fundamental,Day Trader,"Bonds,Private Companies"
1355,mellowPepper0,Experienced,Growth,Long Term Investor,"Forex,Options"
1356,cautiousOtter1,Experienced,Growth,Position Trader,"Bonds,Private Companies"
1357,aboardSnail6,Novice,Momentum,Position Trader,"Private Companies,Equities"
1358,yearningLeopard8,Novice,Growth,Swing Trader,Options
1359,cynicalSnipe9,Intermediate,Value,Day Trader,"Forex,Bonds"
1360,exactingRaisins0,Experienced,Global Macro,Long Term Investor,"Options,Forex"
1361,euphoricChile4,Intermediate,Global Macro,Position Trader,"Options,Futures"
1362,needyChile3,Experienced,Growth,Day Trader,"Equities,Forex"
1363,emptyAntelope9,Intermediate,Growth,Swing Trader,Forex
1364,pitifulLizard8,Novice,Momentum,Position Trader,Forex
1365,lyingLlama8,Intermediate,Fundamental,Day Trader,Forex
1366,amazedEagle7,Experienced,Value,Swing Trader,"Equities,Futures"
1367,spiritedSmelt9,Intermediate,Technical,Day Trader,"Equities,Futures"
1368,morbidCordial8,Novice,Technical,Long Term Investor,"Equities,Forex,Options"
