id,slug,topics
682,mjtrading,"Day Trading,Swing Trading,Biotechnology"
683,TrumpTraders,"Day Trading,Swing Trading"
684,psychology,Education
685,cryptoroom,"Cryptocurrencies,Technology,Biotechnology"
686,lookingforunicorns,"Swing Trading,Long Term Investing,Equities"
687,kirchhoftradingovernight,Swing Trading
688,stockflix,"Day Trading,Long Term Investing,News"
689,vegas,"Day Trading,Momentum Trading,Education"
690,Volatility_Pros,"Swing Trading,Equities"
691,roundtabletrading,"Cryptocurrencies,Swing Trading,Technicals"
692,atrium,"Day Trading,Swing Trading,Technology"
693,collegetraders,Education
694,Tradeflix,News
695,cryptopolis,"Cryptocurrencies,Education,Technology"
696,tape_reading,Day Trading
697,ValueMomentum,"Momentum Trading,Equities,Fundamentals"
698,ThinkLearnSucceed,"Day Trading,Education,Technicals"
699,ScamStocks,Equities
700,profit_planet,Day Trading
701,blessedtoinvest,"Long Term Investing,Education,Quant"
702,TopGunFutures,"Futures,Day Trading,Technicals"
703,profitplanet,"Day Trading,Momentum Trading,Equities"
704,XXX,News
705,Arbitrary,Fundamentals
706,StockFoolery,Equities
707,momentumwealth,"Swing Trading,Momentum Trading,Technicals"
708,lowfloatpenny,"Day Trading,Swing Trading"
709,techplays,Technology
710,fortnite,Options
711,bdcworld,"Long Term Investing,Equities,Fundamentals"
712,CouchInvestors_Members,"Global Macro,Education,Personal Finance"
713,StockJunkies,Day Trading
714,HEMPMONEY,"Swing Trading,Equities,News"
715,Innovation,Cryptocurrencies
716,TheInnovativeInvestor,"Cryptocurrencies,Technology,Biotechnology"
717,DISRUPTIVE,Cryptocurrencies
718,lowfloats,Day Trading
719,DisruptiveInvesting,Cryptocurrencies
720,augmented_reality,Technology
721,BaronKarza,Education
722,growpoints,Non-Market Talk
723,wallstreet_bets,"Momentum Trading,Equities,Technicals"
724,smallaccounttrading,"Swing Trading,Momentum Trading,Technicals"
725,daytradingoptions,Options
726,AR_VR,Technology
727,DRONES,Technology
728,risk,"Day Trading,Momentum Trading,Technicals"
729,IOT,Technology
730,InternetOfThings,Education
731,ConnectedEconomy,Education
732,omar,"Options,Day Trading"
733,GIGEconomy,Education
734,investin,"Long Term Investing,Education,News"
735,WEBv3,Technology
736,riskmanagement,"Day Trading,Education,Equities"
737,invest,"Long Term Investing,Education,News"
738,NEWBIES,Education
739,Gaming,Technology
740,uranium,"Long Term Investing,Energy"
741,techgrowth,Long Term Investing
742,MedTech,"Technology,Biotechnology"
743,FinTec,Technology
744,tradingideas,"Cryptocurrencies,Day Trading,Biotechnology"
745,BioTec,Biotechnology
746,Profit,"Education,Personal Finance"
747,ChartSchool,Education
748,todamoooon,Day Trading
749,trad,"Long Term Investing,Education,News"
750,Admin,Education
751,Future,Technology
752,FutureTech,Technology
753,Tech101,Education
754,Investing101,Education
755,Investing201,Education
756,AdvancedInvesting,Education
757,TechInvesting101,Education
758,TechInvesting201,Education
759,Forecast,Education
760,ProfitForecast,Education
761,MotleyFool,Education
762,sensei,"Day Trading,Education,Technicals"
763,Stansbury,Education
764,Forbes,Education
765,Citron,Education
766,StockTwitPremium,Education
767,MotleyFools,Education
768,WallSt,Education
769,moneymoney,"Day Trading,Long Term Investing"
770,InvesTech,"Education,News"
771,TechAdvisor,Education
772,roblo,Non-Market Talk
773,TechTrends,"Global Macro,Education,Technology"
774,CrystalBall,Education
775,Predictions,Education
776,IntelligentInvestor,Education
777,latino,"Cryptocurrencies,Education,Biotechnology"
778,moneydrip,Momentum Trading
779,MorningStar,Education
780,minecraft,Non-Market Talk
781,Futurist,Education
782,TheFuturist,Education
783,longoptions,Options
784,TheFuturists,Education
785,Futurists,Education
786,metals,"Global Macro,Fundamentals,Precious Metals"
787,nznz,"Equities,ETFs"
788,Slack,Personal Finance
789,ElliottWaveCounts,"Day Trading,Equities,Technicals"
790,analysis4profits,"Long Term Investing,Momentum Trading,Biotechnology"
791,winnersstaywinners,Long Term Investing
792,SeekingAlpha,Education
793,StockGumshoe,Education
794,StockAdvisor,Education
795,RobinHoodPuertoRico,"Day Trading,Long Term Investing,Momentum Trading"
796,ChartGuys,"Day Trading,Education,Technicals"
797,phase123_fda,Biotechnology
798,TheOptionsHouse,Options
799,Experienced_TradersOnly,"Options,Education,Technicals"
800,Silver,Precious Metals
801,zbillionaireclub,"Cryptocurrencies,Equities,ETFs"
802,noworries,"Options,Day Trading,Equities"
803,hashtaginvesting,"Long Term Investing,Education,Quant"
804,dividendetfs,ETFs
805,lowfloatstocks,Momentum Trading
806,block_chain,Technology
807,chinalovers,Fundamentals
808,optionstrader,"Options,Swing Trading,Momentum Trading"
809,longcrypto,Cryptocurrencies
810,cryptotrader,"Cryptocurrencies,Fundamentals,Technicals"
811,superstocks,"Long Term Investing,Equities,Fundamentals"
812,canadian,"Long Term Investing,News,Personal Finance"
813,smartinvesting,"Long Term Investing,Fundamentals,Technicals"
814,Avidtraderchat,"Futures,Swing Trading,Technicals"
815,optionsashda,Day Trading
816,cryptocalls,Cryptocurrencies
817,behavioral_finance,Global Macro
818,BIOEOS,"Options,Education,Biotechnology"
819,gifs,Non-Market Talk
820,lowfloattrading,"Day Trading,Momentum Trading,Technicals"
821,optionsniper,"Options,Swing Trading,Technicals"
822,MAGA,News
823,pennymania,"Day Trading,Momentum Trading,Technicals"
824,lowfloatmania,"Day Trading,Momentum Trading,Technicals"
825,daytradingpennies,"Day Trading,Swing Trading,Momentum Trading"
826,TradingTank,Options
827,options_trading,"Options,Day Trading,Swing Trading"
828,flagbreakout,"Swing Trading,Technicals"
829,pennycaller,"Day Trading,Momentum Trading,Technicals"
830,undervaluedstocks,Fundamentals
831,moneymakers,"Day Trading,Swing Trading,Momentum Trading"
832,optionstrats,Options
833,squirtersonly,Equities
834,volatileoptions,Options
835,emoney,Swing Trading
836,optionsnoobs,Options
837,smartmoney,"Technology,ETFs,Energy"
838,RobinhoodTrading,"Day Trading,Swing Trading,Technicals"
839,yolo4yachts,"Options,Day Trading,Education"
840,StockTwitsAMA,Education
841,slothcity,"Options,Swing Trading,Education"
842,OptionsTradingEdu,"Options,Day Trading"
843,OpinicusHoldings,"Options,Day Trading,Education"
844,stocktraders,"Education,Equities,Technicals"
845,scalptraders,"Momentum Trading,Fundamentals,Personal Finance"
846,stockmemes,Non-Market Talk
847,scalpers,"Options,Day Trading"
848,techandfundamentals,Technicals
849,CoveredCalls,Options
850,ncvnnews,News
851,alphabiotech,Biotechnology
852,techanalysis,Technicals
853,Arora,"Equities,Technology,ETFs"
854,livingourbestlife,"Day Trading,Momentum Trading,Personal Finance"
855,TheAroraReport,"Equities,Technology,ETFs"
856,StockMarketTrading,"Day Trading,Swing Trading,Equities"
857,NigamArora,"Long Term Investing,Equities,ETFs"
858,earningreports,"Options,Day Trading,Momentum Trading"
859,PennyStockz,Day Trading
860,ivcrush,Options
861,Investor,Long Term Investing
862,CannabisCup,Equities
863,fomo,"Options,Day Trading,News"
864,Smart_money,"Day Trading,Swing Trading,Technology"
865,reversals4daytraders,Day Trading
866,Yoptions,"Options,Technology"
867,Trade2win,"Day Trading,Swing Trading,Momentum Trading"
868,marketmakers,"Options,Day Trading,News"
869,optionsrus,Options
870,cashmeoutside,"Long Term Investing,Personal Finance"
871,Over_60_Investing,"Equities,ETFs,Personal Finance"
872,trwstocks,"Day Trading,Swing Trading,Momentum Trading"
873,techprotrading,Options
874,WeinsteinStocks,"Momentum Trading,Technicals"
875,longt,Equities
876,fightingthetrend,"Day Trading,Swing Trading,Momentum Trading"
877,oldschoolinvestingwins,"Education,Fundamentals,Personal Finance"
878,scorpio244,"Global Macro,Equities,Technicals"
879,Emerging_Markets_Stocks,"Long Term Investing,Equities,ETFs"
880,SpreadKing,"Options,Day Trading,Swing Trading"
881,investingtips,Swing Trading
882,overtrading,"Day Trading,Education"
883,notlisteningtotwits,"Day Trading,Long Term Investing,Biotechnology"
884,AI_and_Quant_Investing,Quant
885,eatsleeptrade,"Options,Day Trading,Swing Trading"
886,momentummilitia,Day Trading
887,TOSoptions,Options
888,whereisrandy,Non-Market Talk
889,weedstocks,Day Trading
890,short_sellers,"Day Trading,Equities"
891,cryptotrenz,Cryptocurrencies
892,momotrades,"Day Trading,Swing Trading,Momentum Trading"
893,option,"Options,Technicals"
894,vcp,Swing Trading
895,caregroup,Biotechnology
896,1985,"Cryptocurrencies,Swing Trading,Biotechnology"
897,maryjane,"Biotechnology,Energy,Green Energy"
898,trumpdump,Day Trading
899,swingAndScalp,Swing Trading
900,StocksUnhingedRoom,"Day Trading,Swing Trading,Momentum Trading"
901,chinadomination,Long Term Investing
902,renewables,Green Energy
903,yachtclublilb,Non-Market Talk
904,optionsclub,"Options,Technology"
905,Northof49,"Swing Trading,Long Term Investing,Momentum Trading"
906,Robinhooddaytrading,"Day Trading,Technology,Biotechnology"
907,VSQ,"Options,Day Trading,Swing Trading"
908,alltrades,Swing Trading
909,level3margin,Options
910,IsBitcoinKing,"Cryptocurrencies,Long Term Investing,Technology"
911,growthdrugcompany,Biotechnology
912,partridge,Personal Finance
913,win,Options
914,undertheradar,Long Term Investing
915,Supertrader,"Day Trading,Swing Trading,Momentum Trading"
916,BearMarket,"Cryptocurrencies,Day Trading,Long Term Investing"
917,pakistan,Day Trading
918,baystreet,Swing Trading
919,growth101,"Long Term Investing,Equities,Fundamentals"
920,yourbestidea,Long Term Investing
921,DayTrading_Futures,"Futures,Day Trading,Swing Trading"
922,_cash_gang_,News
923,Elitetrader,"Day Trading,Swing Trading,Momentum Trading"
924,doubledown,"Long Term Investing,Momentum Trading,Equities"
925,DiamondSetups,Futures
926,they,"Day Trading,Biotechnology,Fundamentals"
927,shortsell,"Day Trading,Swing Trading,Momentum Trading"
928,organigram,"Fundamentals,News"
929,poor,"Options,Technology,Personal Finance"
930,tradeforliving,"Day Trading,Swing Trading,Technicals"
931,homerunners,Options
932,world_copper,"Precious Metals,News"
933,oil_gas_e_p_stocks,Energy
934,optionsmann,"Options,Swing Trading"
935,OptionStrategies,Day Trading
936,profterideas,Day Trading
937,faangbat,ETFs
938,trading_psychology,"Day Trading,Swing Trading,Momentum Trading"
939,robihood,News
940,10xtrades,Momentum Trading
941,best_day_trades,Day Trading
942,IPOs,Equities
943,LearnToTrade,Education
944,candlesticks,"Momentum Trading,Education,Technicals"
945,BTMFD,"Options,Swing Trading,Technology"
946,Tickertutor,"Day Trading,Education"
947,GoldAndSllver,Precious Metals
948,cannabis,"Swing Trading,Equities,Fundamentals"
949,longandshortgains,"Options,Technicals,Energy"
950,optionalert,Options
951,defense,Equities
952,stockvalueinvesting,Swing Trading
953,ETFtrading,"Day Trading,Swing Trading,Long Term Investing"
954,howtomakemoney,"Day Trading,Education,Equities"
955,quantswingtraders,"Swing Trading,Technicals,Quant"
956,MomentumTraders,Momentum Trading
957,bullsvsbears,"Day Trading,Swing Trading,Education"
958,fundamentalgains,"Options,Swing Trading,Fundamentals"
959,GapAndGo,Technicals
960,callorput,Options
961,Charting,Technicals
962,canslim,Swing Trading
963,HotPicks,Technicals
964,Hot,Day Trading
965,IntradayTrading,Day Trading
966,Intraday,Day Trading
967,Tickers,Day Trading
968,PremiumRoom,Day Trading
969,CandlestickPatterns,"Swing Trading,Momentum Trading"
970,HotTips,Day Trading
971,Winners,Day Trading
972,Platinum,Day Trading
973,updates,"Cryptocurrencies,Momentum Trading,Education"
974,Diamond,Day Trading
975,Bronze,Day Trading
976,GoldRoom,Day Trading
977,BronzeRoom,Day Trading
978,PlatinumRoom,Day Trading
979,Trades,Day Trading
980,IntradayTraders,Day Trading
981,investstrategies,"Options,Long Term Investing,Fundamentals"
982,yourmom,"Options,ETFs"
983,Bears,Day Trading
984,vegasmonieschizzle,Day Trading
985,BullsandBears,Day Trading
986,InsiderTrades,Day Trading
987,ActiveTraders,Day Trading
988,Active,Day Trading
989,Investors,Long Term Investing
990,ShortTerm,Day Trading
991,LongStrategies,Education
992,ShortStrategies,Education
993,Long,Equities
994,SellShort,Equities
995,Scalping,Day Trading
996,Warriors,Day Trading
997,ManagingRisk,Education
998,RHOptions,Day Trading
999,TradingStrategies,Education
1000,Brokers,Technology
